"CodigoCliente";"Referencia";"ConsumoTotal"
"634";"DC760/775";"21808"
"634";"DC2090";"10452"
"150";"0404-82-00";"8468"
"150";"0444-82-00";"7800"
"150";"0712-82-00";"7587"
"660";"";"4862"
"150";"0631-82-00";"4800"
"634";"DC1950/1946/0942";"4588"
"150";"0427-82-00";"4456"
"150";"0736-82-00";"4382"
"150";"0517-82-00";"4294"
"634";"PEC1781";"4048"
"150";"0407-82-00";"3952"
"150";"0368-82-00";"3840"
"150";"0780-82-00";"3398"
"150";"0619-82-00";"3338"
"675";"";"3269"
"150";"0688-82-00";"3090"
"150";"0597-82-00";"2987"
"150";"0732-82-00";"2764"
"150";"0424-82-00";"2720"
"634";"DC730/1602/2094";"2668"
"150";"0167-82-00";"2606"
"634";"DCB1124";"2516"
"674";"";"2409"
"24";"";"2386"
"150";"0161-82-00";"2304"
"634";"DC1776/DCR1204";"2225"
"634";"";"2039"
"634";"DC2093";"1999"
"150";"0585-82-00";"1972"
"634";"DCC 2094";"1950"
"634";"DC508/509/512";"1915"
"150";"0733-82-00";"1908"
"150";"0787-82-00";"1826"
"634";"";"1788"
"634";"DC 1874";"1753"
"150";"0741-82-00";"1735"
"634";"DC 1651";"1728"
"150";"0411-82-00";"1710"
"28";"";"1635"
"150";"0756-82-00";"1580"
"634";"DC1080/1188/1221/";"1544"
"634";"DCC 1199/DCD1199";"1536"
"634";"DC720/DCR1786";"1508"
"150";"0587-82-00";"1401"
"150";"0644-82-00";"1364"
"634";"DCC1776-DCF1776";"1320"
"150";"0718-82-0";"1284"
"634";"DC 1781";"1248"
"634";"DC1741";"1152"
"150";"0237-82-00";"1095"
"25";"";"1080"
"150";"0197-82-00";"1044"
"150";"0857-82-00";"1033"
"77";"";"1026"
"666";"";"1008"
"634";"DC765/766";"964"
"634";"DC1407";"947"
"634";"DC1787";"936"
"150";"0403-82-00";"936"
"634";"DC2149/2151/8149/8";"920"
"150";"0604-82-00";"900"
"634";"DCB0088";"891"
"634";"DC1875";"864"
"753";"";"850"
"150";"0160-82-00";"808"
"24";"";"801"
"150";"0757-82-00";"790"
"150";"0488-82-00";"780"
"771";"";"769"
"150";"0180-82-00";"768"
"655";"";"665"
"634";"DC1066/8503";"660"
"627";"";"637"
"634";"DCA 1124";"620"
"634";"DCA2174";"600"
"634";"DC2091";"592"
"634";"DC1905";"535"
"150";"0692-82-00";"532"
"150";"0849-82-00";"523"
"150";"0468-82-00";"520"
"150";"0121-82-00";"514"
"150";"0408-82-00";"512"
"14";"";"500"
"150";"0630-82-00";"480"
"150";"0881-92-00";"444"
"634";"DC 1888/1889";"432"
"597";"";"404"
"150";"0648-82-00";"392"
"634";"DC780/790";"364"
"682";"";"359"
"756";"";"335"
"315";"";"315"
"781";"";"300"
"150";"0442-82-00";"298"
"674";"";"294"
"630";"";"294"
"99";"";"285"
"631";"";"278"
"634";"DC1065/1250/1236";"264"
"634";"DCB/DCD/DCR1406";"262"
"150";"0240-82-00";"243"
"77";"";"242"
"150";"0171-82-00";"232"
"177";"";"228"
"9999";"";"224"
"774";"";"218"
"150";"0241-82-00";"216"
"634";"PE 0949";"216"
"634";"DC1115/1116";"216"
"150";"0729-82-00";"210"
"150";"0440-82-00";"202"
"634";"DC100/105";"189"
"293";"";"183"
"756";"";"175"
"177";"";"166"
"716";"";"162"
"150";"0660-82-00";"162"
"224";"";"155"
"634";"DC1849";"148"
"190";"";"148"
"150";"0501-82-00";"144"
"634";"DC 2122";"144"
"9999";"";"140"
"634";"DCR1782";"136"
"323";"";"130"
"710";"";"120"
"634";"DC 1636";"120"
"634";"DC1070";"116"
"28";"";"113"
"150";"0642-82-00";"111"
"634";"DC2162";"108"
"634";"DC2002";"108"
"150";"0459-82-00";"106"
"652";"";"100"
"704";"";"100"
"597";"";"79"
"156";"";"74"
"150";"0149-82-00";"72"
"720";"";"72"
"150";"0243-82-00";"69"
"655";"";"65"
"25";"";"62"
"634";"DC1857";"60"
"3";"";"59"
"634";"DC1323";"59"
"315";"";"58"
"753";"";"56"
"150";"0596-82-00";"53"
"100";"";"52"
"670";"";"48"
"99";"";"48"
"230";"";"40"
"150";"0291-82-00";"37"
"679";"";"36"
"84";"";"34"
"150";"0635-82-00";"31"
"703";"";"30"
"630";"";"25"
"601";"";"24"
"601";"";"16"
"779";"";"13"
"595";"";"12"
"779";"";"12"
"156";"";"12"
"551";"";"8"
"150";"0327-82-00";"6"
"551";"";"6"
"782";"";"2"
"1000";"";"2"
